Observaci—n,Gasto ,Ingreso
1,9.46,25.83
2,10.56,34.41
3,14.81,42.5
4,21.71,46.75
5,22.79,48.29
6,18.19,48.77
7,22,49.65
8,18.12,51.54
9,23.13,54.33
10,19,54.87
11,19.46,56.46
12,17.83,58.83
13,32.81,59.13
14,22.13,60.73
15,23.46,61.12
16,16.81,63.1
17,21.35,65.96
18,14.87,66.4
19,33,70.42
20,25.19,70.48
21,17.77,71.98
22,22.44,72
23,22.87,72.23
24,26.52,72.23
25,21,73.44
26,37.52,74.25
27,21.69,74.77
28,27.4,76.33
29,30.69,81.02
30,19.56,81.85
31,30.58,82.56
32,41.12,83.33
33,15.38,83.4
34,17.87,91.81
35,25.54,91.81
36,39,92.96
37,20.44,95.17
38,30.1,101.4
39,20.9,114.13
40,48.71,115.46
